オフセット,変数名,項目,単位,下限,上限
0,BUF_TANK,Sol. A (Buf. tank) 錫ｲｵﾝ濃度測定状態,1,0,1
1,CIR_TANK,Sol. B (Cir. tank) 錫ｲｵﾝ濃度測定状態,1,0,1
2,RESERVE1,予備,1,0,1
3,RESERVE2,予備,1,0,1
4,XV1341_1,XV-1341-1 遮断弁 状態,1,0,1
5,XV1341_2,XV-1341-2 遮断弁 状態,1,0,1
6,XV1341_3,XV-1341-3 遮断弁 状態,1,0,1
7,XV311,XV-311 遮断弁 状態,1,0,1
8,XV1338,XV-1338 遮断弁 状態,1,0,1
9,P1,PC-1ﾎﾟﾝﾌﾟ 運転状態,1,0,1
10,P2,PC-2ﾎﾟﾝﾌﾟ 運転状態,1,0,1
11,P3,PC-3ﾎﾟﾝﾌﾟ 運転状態,1,0,1
12,P4,PC-4ﾎﾟﾝﾌﾟ 運転状態,1,0,1
13,P5,PC-5ﾎﾟﾝﾌﾟ 運転状態,1,0,1
14,RESERVE3,予備,1,0,1
15,RESERVE4,予備,1,0,1
16,RESERVE5,予備,1,0,1
17,SRS_OP,SRS運転指令(O2-FIC CAS mode),1,0,1
18,DIS_TR,溶解槽液移送モード,1,0,1
19,COILEND,錫めっきセクション溶接点通過,1,0,1
20,RESERVE6,予備,1,0,1
21,RESERVE7,予備,1,0,1
22,RESERVE8,予備,1,0,1
23,RESERVE9,予備,1,0,1
24,RESERVE9,予備,1,0,1
25,FIC311_CAS,FIC-311 PID制御モード(CAS),1,0,1
26,FIC311_AUTO,FIC-311 PID制御モード(AUTO),1,0,1
27,FIC1342_CAS,FIC-1342 PID制御モード(CAS),1,0,1
28,FIC1342_AUTO,FIC-1342 PID制御モード(AUTO),1,0,1
29,RESERVE9,予備,1,0,1
30,RESERVE10,予備,1,0,1
31,RESERVE11,予備,1,0,1
