オフセット,変数名,項目,単位,下限,上限
0,PW_5AB,Running (PW-5-A or B),1,0,1
1,PC12_AB,Running (PC-12-A or B),1,0,1
2,PC13_AB,Running (PC-13-A or B),1,0,1
3,PC4_A,Running (PC-4-A),1,0,1
4,PC21_A,Running (PC-21-A),1,0,1
5,PC5_AB,Running (PC-5-A or B),1,0,1
6,PC6_AB,Running (PC-6-A or B),1,0,1
7,PC1_A,Running(PC-1-A),1,0,1
8,PC1_B,Running(PC-1-B),1,0,1
9,PC1_C,Running(PC-1-C),1,0,1
10,PC1_D,Running(PC-1-D),1,0,1
11,PC2_A,Running(PC-2-A),1,0,1
12,PC14_AB,Running(PC-14-A or B),1,0,1
13,XV1305_1,XV-1305-1 Open,1,0,1
14,XV1305_2,XV-1305-2 Open,1,0,1
15,XV1308,XV-1308 Open,1,0,1
16,XV1309,XV-1309 Open,1,0,1
17,XV1311,XV-1311 Open,1,0,1
18,XV1318,XV-1318 Open,1,0,1
19,XV1322_1,XV-1322-1 Open,1,0,1
20,XV1322_2,XV-1322-2 Open,1,0,1
21,XV1326,XV-1326 Open,1,0,1
22,XV1327,XV-1327 Open,1,0,1
23,XV1328,XV-1328 Open,1,0,1
24,XV1329,XV-1329 Open,1,0,1
25,XV1341_1,XV-1341-1 Open,1,0,1
26,XV1341_2,XV-1341-2 Open,1,0,1
27,XV1393_1,XV-1393-1 Open,1,0,1
28,XV1393_2,XV-1393-2 Open,1,0,1
29,XV1392,XV-1392 Open,1,0,1
30,XV1395,XV-1395 Open,1,0,1
31,XV1338,XV-1338 Open,1,0,1
32,XV1332,XV-1332 Open,1,0,1
33,XV1334,XV-1334 Open,1,0,1
34,SV1361,SV-1361 Open,1,0,1
35,SV1362,SV-1362 Open,1,0,1
36,SV1363,SV-1363 Open,1,0,1
37,SV1364,SV-1364 Open,1,0,1
38,XV1333,XV-1333 Open,1,0,1
39,FIC311_CAS,"FIC-311 Control mode ""CAS"" ON",1,0,1
40,FEEDER_ASL,FEEDER / Actual Sn Load,1,0,1
41,FEEDER_AFR,FEEDER / Auto Feeder Running,1,0,1
42,FAILURE,Failure,1,0,1
43,PREFILTERING,Prefiltering,1,0,1
44,FILTERING,Filtering,1,0,1
45,DISCHARGE,Discharge,1,0,1
46,WATERFLUSH,Water Flush,1,0,1
47,SOLUTION_SUPPLY_PRO,Solution Supply Pump Run Order,1,0,1
48,SOLUTION_FEEDING,Solution Feeding ,1,0,1
