オフセット,変数名,項目,単位,下限,上限
0,StA_TL_PV,StAﾀﾝｸﾚﾍﾞﾙ PV,0.1,40,467
1,No3_循環_TL_PV,No3ﾀﾝｸﾚﾍﾞﾙ PV,0.1,44,565
2,No4_循環_TL_PV,No4ﾀﾝｸﾚﾍﾞﾙ PV,0.1,60,461
3,溶解槽_錫槽内差圧_PV,錫槽内差圧 PV,0.1,0,981
4,StA_COND_PV,StA錫ｲｵﾝ濃度 PV,0.1,0,600
5,No3_循環_CONC_PV,No3錫ｲｵﾝ濃度 PV,0.1,0,600
6,No4_循環_CONC_PV,No4錫ｲｵﾝ濃度 PV,0.1,0,600
7,FCV2_PV,FCV2_PID制御 PV Actual,0.01,0,100
8,FCV4_PV,FCV4_PID制御 PV Actual,0.01,0,100
9,FCV7_PV,FCV7_PID制御 PV Actual,0.01,0,200
10,FCV8_PV,FCV8_PID制御 PV Actual,0.01,0,1000
11,FCV10_PV,FCV10_PID制御 PV Actual,0.01,0,200
12,StA_TL_SETVAL,ﾀﾝｸﾚﾍﾞﾙ 設定,0.1,40,467
13,StA_AVE,StA錫ｲｵﾝ濃度 平均値,0.1,0,600
14,No3_AVE,No3錫ｲｵﾝ濃度 平均値,0.1,0,600
15,No4_AVE,No4錫ｲｵﾝ濃度 平均値,0.1,0,600
16,溶解槽_槽内圧力,溶解槽_槽内圧力,1,0,1471
