オフセット,変数名,項目,単位,W下限,W上限
0,LCV1340_1_MV,LCV-1340-1 MV,1,0,100
1,LCV1340_2_MV,LCV-1340-2 MV,1,0,100
2,FCV1311_1_MV,FCV-1311-1 MV,1,0,100
3,FCV1311_2_MV,FCV-1311-2 MV,1,0,100
4,FIC1311_1_PV,FIC-1311-1 PV,0.1,0,10000
5,FIC1311_2_PV,FIC-1311-2 PV,0.1,0,2000
6,PIC1312_PV,PIC-1312 PV,1,0,1200
7,PIA1313_PV,PIA-1313 PV,0.1,0,5000
8,PIA1314_PV,PIA-1314 PV,0.1,0,1000
9,FIA1315_PV,FIA-1315 PV,0.01,0,700
10,TIA1316_PV,TIA-1316 PV,0.1,0,1000
11,LIA1317_PV,LIA-1317 PV,1,0,1000
12,LIA1321_PV,LIA-1321 PV,1,0,1000
13,LIA1340_PV,LIA-1340 PV,0.1,0,1000
14,LIA1302_PV,LIA-1302 PV,0.1,0,1000
15,LIA1391_PV,LIA-1391 PV,0.1,0,1000
16,LIA1330_PV,LIA-1330 PV,0.1,0,1000
17,LIA1304_PV,LIA-1304 PV,0.1,0,1000
18,LIA1381_PV,LIA-1381 PV,0.1,0,1000
19,LTW5_PV,LT-W5 PV,1,0,3000
20,LTW7_PV,LT-W7 PV,1,0,3000
21,FI1305_1_PV,FI-1305-1 PV,0.1,0,3000
22,FI1305_2_PV,FI-1305-2 PV,0.1,0,1000
23,FI1308_PV,FI-1308 PV,0.1,0,1000
24,FI1309_PV,FI-1309 PV,0.1,0,1000
25,FI1392_PV,FI-1392 PV,0.1,0,200
26,FI1393_1_PV,FI-1393-1 PV ,0.1,0,1000
27,FI1393_2_PV,FI-1393-2 PV,0.1,0,1000
28,FI1332_PV,FI-1332 PV,0.1,0,200
29,FT1338_PV,FT-1338 PV,0.1,0,1000
30,XI1332_PV,XI-1332 PV,1,0,10000
31,XI1335_PV,XI-1335 PV,1,0,100
32,XI1331_PV,XI-1331 PV,0.1,0,500
33,XI1365_PV,XI-1365 PV,1,0,14
34,TI1307_1_PV,TI-1307-1 PV,1,0,100
35,LINESPEED,Center Line Speed PV,1,0,600
36,TOP_Plating_Current,TOP Plating Current PV,0.01,0,15000
37,TOP_Efficiency,TOP Efficiency,1,0,100
38,BOTPlating_Current,BOT Plating Current PV,0.01,0,15000
39,BOT_Efficiency,BOT Efficiency,1,0,100
40,BASE_CURRENT,BASE CURRENT,1,0,10000
