オフセット,変数名,項目,単位,下限,上限
0,No3_LS,ライン速度,1,0,500
1,No4_LS,ライン速度,1,0,600
2,予備1,,1,0,32767
3,予備2,,1,0,32767
4,予備3,,1,0,32767
5,予備4,,1,0,32767
6,予備5,,1,0,32767
7,予備6,,1,0,32767
8,予備7,,1,0,32767
9,予備8,,1,0,32767
10,FCV2_CAS,PID制御モード,1,0,2
11,FCV4_CAS,PID制御モード,1,0,2
12,FCV7_CAS,PID制御モード,1,0,2
13,FCV8_CAS,PID制御モード,1,0,2
14,FCV10_CAS,PID制御モード,1,0,2
15,FCV2_SV,PID制御 SV Actual,0.01,0,100
16,FCV4_SV,PID制御 SV Actual,0.01,0,100
17,FCV7_SV,PID制御 SV Actual,0.01,0,200
18,FCV8_SV,PID制御 SV Actual,0.01,0,1000
19,FCV10_SV,PID制御 SV Actual,0.01,0,200
20,StB_TL_PV,ﾀﾝｸﾚﾍﾞﾙ PV,0.1,17,195
21,予備9,,1,0,32767
22,予備10,,1,0,32767
23,予備11,,1,0,32767
24,予備12,,1,0,32767
25,予備13,,1,0,32767
26,予備14,,1,0,32767
27,予備15,,1,0,32767
28,予備16,,1,0,32767
29,予備17,,1,0,32767
30,予備18,,1,0,32767
31,予備19,,1,0,32767
